tipo_item,cap_id,cap_nome,cap_tipo,score_final,design,originality,craft,functionality,gargalo,patch_top1,patch_top2,defeito_id,defeito_titulo,prioridade,esforco_estimado_h
capitulo,10,Population Systems,base,0.68,0.6,0.55,0.7,0.8,"Design (34 shrinks, 6 sobre lstlistings) + Originality (fronteira técnica: pede mais atribuição histórica, não só analogia)",Quebrar lstlistings em ≤2 por slide (alinhamento com Cap 6 também) — alvo 5 lstlistings sem shrink,Adicionar atribuição histórica para Lotka-Volterra (1925–1926) + Bartlett (1957) na seção de introdução de modelos,,,atenção,
capitulo,11,Integrated Analysis,prospectivo,0.65,0.7,0.5,0.75,0.7,Originality (cap prospectivo sem declaração de profundidade assimétrica — violação §2.3),Adicionar slide de abertura declarando: 'neste cap: Multi-Ômica + Caso Trealose (profundos); Redes e Modelos integrados (survey)',Criar 1 caso extra integrador com lstlisting que combine omics + network analysis (alinhamento com Functionality),,,atenção,
capitulo,12,Heart Physiology,prospectivo,0.66,0.65,0.55,0.75,0.75,Originality (cap prospectivo com 8 seções sem declaração de quais são fundo vs survey) + Design (38 shrinks),Slide de abertura explicitando: 'neste cap: Eletrofisiologia + Acoplamento (fundo); Anatomia + Propagação (survey)',Reduzir 38 shrinks: revisar frames com lstlistings ou mapas de canais iônicos — alvo ≤15,,,atenção,
capitulo,13,Systems Medicine,prospectivo,0.65,0.65,0.55,0.7,0.7,Originality (4 seções tratadas como survey puro: nenhumaprofundou; lstlistings só em 2 lugares — Cap 13 é o caso mais grave de 'tudo survey'),Marcar no slide inicial: 'neste cap: Medicina Personalizada + Ensaios Clínicos (fundo); Descoberta + Doenças Complexas (survey)',"Adicionar ≥2 lstlistings na seção de Medicina Personalizada (PK, clustering) com comparações visíveis",,,atenção,
capitulo,14,Design Systems,prospectivo,0.72,0.65,0.6,0.8,0.8,Originality (sem declaração profundidade/survey; cap prospectivo) + Design (41 shrinks),Slide de abertura: 'neste cap: Circuitos sintéticos + Biocomputação (fundo); Biossensores + Therapeutic design (survey)',Adicionar slide de recapitulação final (substitui 'Obrigado!') com 5 bullets + roadmap para capítulos futuros,,,atenção,
defeito_sistemico,,,,,,,,,,"Substituir '\Huge Obrigado!' por slide 'Recapitulação' com 5 bullets-síntese: (1) ideia central, (2) modelo(s)-chave, (3) insight pedagógico, (4) gancho com próximo cap, (5) referência a lstlisting principal",,DR-1,Slide 'Obrigado!' sem recapitulação,universal,
defeito_sistemico,,,,,,,,,,"Inserir 1 bloco \begin{block}{Analogia}\end{block} logo após o §Objetivos, com 10–30 palavras. Exemplo cap 9: 'Uma cascata de sinalização celular funciona como uma fiação de amplificadores em série — cada amplificador (MAPK) é precedido por outro, formando um sinal nítido mesmo quando a entrada é fraca.'",,DR-2,Analogia-âncora ausente em capítulos-base,universal,
defeito_sistemico,,,,,,,,,,"Auditoria frame a frame: se [shrink>=20], dividir em 2 frames ou cortar conteúdo redundante. Alvo: ≤15 shrinks total por cap.",,DR-3,[shrink=N] excessivo (alerta de overflow crônico),parcial,
defeito_sistemico,,,,,,,,,,"Slide de abertura logo após Objetivos: 'Estrutura do capítulo: [Seção A] (fundo, ~50%) — [Seção B] (survey, ~30%) — [Seção C] (survey, ~20%)'. Indicar com símbolos [f] e [s].",,DR-4,Profundidade assimétrica não declarada em capítulos-prospectivos,universal,
defeito_sistemico,,,,,,,,,,Adicionar 'caption=Nome descritivo' como argumento do lstlisting + frase anterior 'Este código resolve: ...'. Pode ser automatizado com script grep que detecta lstlistings sem caption e injeta placeholder.,,DR-5,lstlistings sem caption ou frase de contexto,parcial,
